ISOCode3,M49_Code,Contributing_Country,Personnel_Contribution_Rank,Female_Personnel,Male_Personnel,Total_Uniformed_Personnel,Last_Reporting_Date
BGD,50,Bangladesh,1,397,6006,6403,31-Jan-22
NPL,524,Nepal,2,324,5333,5657,31-Jan-22
IND,356,India,3,101,5497,5598,31-Jan-22
RWA,646,Rwanda,4,496,4784,5280,31-Jan-22
ETH,231,Ethiopia,5,563,4194,4757,31-Jan-22
PAK,586,Pakistan,6,87,3723,3810,31-Jan-22
EGY,818,Egypt,7,79,2716,2795,31-Jan-22
IDN,360,Indonesia,8,158,2539,2697,31-Jan-22
GHA,288,Ghana,9,364,1914,2278,31-Jan-22
CHN,156,China,10,102,2141,2243,31-Jan-22
SEN,686,Senegal,11,190,1930,2120,31-Jan-22
MAR,504,Morocco,12,56,1648,1704,31-Jan-22
TZA,834,United Republic of Tanzania,13,124,1355,1479,31-Jan-22
TCD,148,Chad,14,47,1411,1458,31-Jan-22
ITA,380,Italy,15,61,1142,1203,31-Jan-22
CMR,120,Cameroon,16,135,983,1118,31-Jan-22
TGO,768,Togo,17,117,984,1101,31-Jan-22
URY,858,Uruguay,18,72,1003,1075,31-Jan-22
CIV,384,Côte d’Ivoire,19,63,917,980,31-Jan-22
ZMB,894,Zambia,20,178,797,975,31-Jan-22
NER,562,Niger,21,25,942,967,31-Jan-22
ZAF,710,South Africa,22,199,734,933,31-Jan-22
BFA,854,Burkina Faso,23,91,839,930,31-Jan-22
MNG,496,Mongolia,24,71,821,892,31-Jan-22
MYS,458,Malaysia,25,91,756,847,31-Jan-22
MRT,478,Mauritania,26,11,783,794,31-Jan-22
BDI,108,Burundi,27,54,717,771,31-Jan-22
KHM,116,Cambodia,28,108,657,765,31-Jan-22
MWI,454,Malawi,29,99,640,739,31-Jan-22
GIN,324,Guinea,30,63,664,727,31-Jan-22
ESP,724,Spain,31,59,592,651,31-Jan-22
DEU,276,Germany,32,53,594,647,31-Jan-22
UGA,800,Uganda,33,80,564,644,31-Jan-22
FRA,250,France,34,50,585,635,31-Jan-22
JOR,400,Jordan,35,29,586,615,31-Jan-22
KOR,410,Republic of Korea,36,29,520,549,31-Jan-22
LKA,144,Sri Lanka,37,8,518,526,31-Jan-22
GBR,826,United Kingdom of Great Britain and Northern Ireland,38,42,481,523,31-Jan-22
IRL,372,Ireland,39,36,476,512,31-Jan-22
BEN,204,Benin,40,50,455,505,31-Jan-22
TUN,788,Tunisia,41,33,325,358,31-Jan-22
FJI,242,Fiji,42,48,290,338,31-Jan-22
KEN,404,Kenya,43,44,291,335,31-Jan-22
UKR,804,Ukraine,44,10,300,310,31-Jan-22
NGA,566,Nigeria,45,77,219,296,31-Jan-22
THA,764,Thailand,46,10,278,288,31-Jan-22
SRB,688,Serbia,47,29,237,266,31-Jan-22
SVK,703,Slovakia,48,30,219,249,31-Jan-22
SLV,222,El Salvador,49,19,219,238,31-Jan-22
PER,604,Peru,50,30,200,230,31-Jan-22
SWE,752,Sweden,51,31,192,223,31-Jan-22
ARG,32,Argentina,52,38,182,220,31-Jan-22
PRT,620,Portugal,53,14,192,206,31-Jan-22
POL,616,Poland,54,20,181,201,31-Jan-22
FIN,246,Finland,55,11,184,195,31-Jan-22
AUT,40,Austria,56,13,179,192,31-Jan-22
COG,178,Congo,57,25,165,190,31-Jan-22
GTM,320,Guatemala,58,16,160,176,31-Jan-22
LBR,430,Liberia,59,20,151,171,31-Jan-22
TUR,792,Turkey,60,10,141,151,31-Jan-22
GRC,300,Greece,61,18,93,111,31-Jan-22
NLD,528,Netherlands,62,10,80,90,31-Jan-22
GMB,270,Gambia,63,29,57,86,31-Jan-22
RUS,643,Russian Federation,64,12,67,79,31-Jan-22
VNM,704,Viet Nam,65,15,58,73,31-Jan-22
BRA,76,Brazil,66,8,64,72,31-Jan-22
SLE,694,Sierra Leone,67,44,25,69,31-Jan-22
NOR,578,Norway,68,10,52,62,31-Jan-22
ZWE,716,Zimbabwe,69,38,23,61,31-Jan-22
CAN,124,Canada,70,18,41,59,31-Jan-22
BEL,56,Belgium,71,3,52,55,31-Jan-22
MLI,466,Mali,72,12,40,52,31-Jan-22
ROU,642,Romania,73,16,33,49,31-Jan-22
LTU,440,Lithuania,74,4,41,45,31-Jan-22
ARM,51,Armenia,75,2,32,34,31-Jan-22
DJI,262,Djibouti,75,7,27,34,31-Jan-22
PRY,600,Paraguay,75,4,30,34,31-Jan-22
HUN,348,Hungary,78,5,28,33,31-Jan-22
CHE,756,Switzerland,78,2,31,33,31-Jan-22
AUS,36,Australia,80,6,25,31,31-Jan-22
USA,840,United States of America,80,4,27,31,31-Jan-22
BRN,96,Brunei Darussalam,82,0,30,30,31-Jan-22
BOL,68,Bolivia (Plurinational State of),83,7,20,27,31-Jan-22
BTN,64,Bhutan,84,4,21,25,31-Jan-22
CHL,152,Chile,85,3,13,16,31-Jan-22
MEX,484,Mexico,85,7,9,16,31-Jan-22
CZE,203,Czechia,87,5,10,15,31-Jan-22
HND,340,Honduras,87,7,8,15,31-Jan-22
HRV,191,Croatia,89,3,11,14,31-Jan-22
KAZ,398,Kazakhstan,89,1,13,14,31-Jan-22
DNK,208,Denmark,91,1,10,11,31-Jan-22
NZL,554,New Zealand,91,1,10,11,31-Jan-22
BIH,70,Bosnia and Herzegovina,93,3,7,10,31-Jan-22
NAM,516,Namibia,93,6,4,10,31-Jan-22
MDA,498,Republic of Moldova,93,2,8,10,31-Jan-22
MLT,470,Malta,96,1,8,9,31-Jan-22
PHL,608,Philippines,96,5,4,9,31-Jan-22
DOM,214,Dominican Republic,98,2,6,8,31-Jan-22
KGZ,417,Kyrgyzstan,98,2,6,8,31-Jan-22
BLR,112,Belarus,100,1,6,7,31-Jan-22
ECU,218,Ecuador,100,2,5,7,31-Jan-22
EST,233,Estonia,102,3,3,6,31-Jan-22
COL,170,Colombia,103,3,2,5,31-Jan-22
MKD,807,North Macedonia,103,0,5,5,31-Jan-22
GAB,266,Gabon,105,1,3,4,31-Jan-22
JPN,392,Japan,105,1,3,4,31-Jan-22
SVN,705,Slovenia,105,0,4,4,31-Jan-22
BWA,72,Botswana,108,0,3,3,31-Jan-22
ALB,8,Albania,109,1,1,2,31-Jan-22
DZA,12,Algeria,109,0,2,2,31-Jan-22
AZE,31,Azerbaijan,109,0,2,2,31-Jan-22
CYP,196,Cyprus,109,0,2,2,31-Jan-22
IRN,364,Iran (Islamic Republic of),109,0,2,2,31-Jan-22
LUX,442,Luxembourg,109,0,2,2,31-Jan-22
MNE,499,Montenegro,109,1,1,2,31-Jan-22
BGR,100,Bulgaria,116,0,1,1,31-Jan-22
LVA,428,Latvia,116,0,1,1,31-Jan-22
MDG,450,Madagascar,116,0,1,1,31-Jan-22
QAT,634,Qatar,116,0,1,1,31-Jan-22
TJK,762,Tajikistan,116,0,1,1,31-Jan-22
TLS,626,Timor-Leste,116,1,0,1,31-Jan-22
PNG,598,Papua New Guinea,122,0,0,0,31-Jan-22

